F1,Metric,Model,Threshold [min],Perc
0.7229613598451626,F1,XGB,20,0.9755512395750029
0.2501067242194311,F1,LR,20,0.9755512395750029
0.7546897405134952,F1,LGBM,20,0.9755512395750029
0.7099768177037448,F1,GBDT,20,0.9755512395750029
0.5681301228592301,F1,KNN,20,0.9755512395750029
0.6584871717371751,F1,RF,20,0.9755512395750029
0.7311934615870209,F1,XGB,25,0.9718953501656575
0.2425272385639848,F1,LR,25,0.9718953501656575
0.743654069687041,F1,LGBM,25,0.9718953501656575
0.7344772633760321,F1,GBDT,25,0.9718953501656575
0.5881088854587743,F1,KNN,25,0.9718953501656575
0.7365061981413636,F1,RF,25,0.9718953501656575
0.8149986882805696,F1,XGB,30,0.6317833885524963
0.6045204984705044,F1,LR,30,0.6317833885524963
0.8224242606481501,F1,LGBM,30,0.6317833885524963
0.8231782515935543,F1,GBDT,30,0.6317833885524963
0.6955968345372782,F1,KNN,30,0.6317833885524963
0.8092050435872529,F1,RF,30,0.6317833885524963
0.776668319763028,F1,XGB,35,0.5745458699874328
0.5864623747132973,F1,LR,35,0.5745458699874328
0.78467167338443,F1,LGBM,35,0.5745458699874328
0.7798310099618041,F1,GBDT,35,0.5745458699874328
0.681576892929573,F1,KNN,35,0.5745458699874328
0.7822320168169451,F1,RF,35,0.5745458699874328
0.7793075326916833,F1,XGB,40,0.5628927224951445
0.5882015133551773,F1,LR,40,0.5628927224951445
0.785778022878879,F1,LGBM,40,0.5628927224951445
0.777338651511406,F1,GBDT,40,0.5628927224951445
0.6884847165628091,F1,KNN,40,0.5628927224951445
0.7837007664630491,F1,RF,40,0.5628927224951445
0.8474328518280158,F1,XGB,45,0.45253056095053124
0.7187138672751878,F1,LR,45,0.45253056095053124
0.850989131825817,F1,LGBM,45,0.45253056095053124
0.8519811811805916,F1,GBDT,45,0.45253056095053124
0.79639069379507,F1,KNN,45,0.45253056095053124
0.8535943517414161,F1,RF,45,0.45253056095053124
0.8424485550782511,F1,XGB,50,0.43550782588826686
0.7266740243723816,F1,LR,50,0.43550782588826686
0.8532927989211246,F1,LGBM,50,0.43550782588826686
0.8490079422335061,F1,GBDT,50,0.43550782588826686
0.7931432983515275,F1,KNN,50,0.43550782588826686
0.8472155573940149,F1,RF,50,0.43550782588826686
0.8475114933100857,F1,XGB,55,0.40488975208499944
0.732939387224445,F1,LR,55,0.40488975208499944
0.8481787472915548,F1,LGBM,55,0.40488975208499944
0.8463788782196934,F1,GBDT,55,0.40488975208499944
0.8074955246492558,F1,KNN,55,0.40488975208499944
0.8564522098704096,F1,RF,55,0.40488975208499944
0.8686810324128601,F1,XGB,60,0.3590768879241403
0.7819636241822252,F1,LR,60,0.3590768879241403
0.8655105431243874,F1,LGBM,60,0.3590768879241403
0.863994475972644,F1,GBDT,60,0.3590768879241403
0.8440543121297832,F1,KNN,60,0.3590768879241403
0.8710166091130613,F1,RF,60,0.3590768879241403
0.8814668890302065,F1,XGB,65,0.34502456300696904
0.802159604997834,F1,LR,65,0.34502456300696904
0.8824773885719814,F1,LGBM,65,0.34502456300696904
0.8804378097029201,F1,GBDT,65,0.34502456300696904
0.853751259741255,F1,KNN,65,0.34502456300696904
0.8802381733501283,F1,RF,65,0.34502456300696904
0.8843027488733846,F1,XGB,70,0.3403404547012453
0.8136092195940705,F1,LR,70,0.3403404547012453
0.8847867098287397,F1,LGBM,70,0.3403404547012453
0.884172314239336,F1,GBDT,70,0.3403404547012453
0.8586459032901378,F1,KNN,70,0.3403404547012453
0.8836219631423061,F1,RF,70,0.3403404547012453
